Satisfied,Gender,Age,Age_Group,Customer_Type,Type_Travel,Seat_Class,Seat_Comfort,Catering,Cleanliness,Online_Support,Onboard_Service,Travel_Distance(km),delay(seconds),num_sat,ID
no,M,48,Upper Age,loyal,pers,regular,Poor,Poor,Good,Good,Good,220,9,0,98800002
yes,F,43,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Good,106,196,1,98800003
yes,F,50,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,198,0,1,98800005
yes,M,44,Middle,loyal,biz,regular,Poor,Acceptable,Acceptable,Good,Acceptable,281,0,1,98800006
no,M,56,Upper Age,loyal,pers,premium,Good,Good,Acceptable,Good,Good,203,0,0,98800007
no,M,22,Young Adult,loyal,pers,premium,Poor,Poor,Poor,Acceptable,Acceptable,164,1,0,98800009
yes,F,25,Young Adult,infrequent,biz,premium,Good,Good,Good,Poor,Good,176,0,1,98800011
yes,M,26,Young Adult,loyal,pers,regular,Good,Good,Poor,Acceptable,Poor,190,0,1,98800012
no,M,33,Middle,loyal,biz,regular,Acceptable,Poor,Poor,Acceptable,Poor,118,98,0,98800015
yes,M,68,Elder,loyal,pers,premium,Good,Good,Good,Good,Good,376,72,1,98800018
no,M,26,Young Adult,loyal,pers,premium,Poor,Acceptable,Good,Poor,Good,301,0,0,98800019
yes,M,24,Young Adult,infrequent,biz,premium,Good,Good,Good,Good,Acceptable,199,107,1,98800020
no,M,23,Young Adult,loyal,biz,premium,Poor,Poor,Good,Poor,Poor,166,0,0,98800021
yes,M,33,Middle,loyal,biz,premium,Poor,Poor,Poor,Poor,Poor,182,0,1,98800022
yes,F,22,Young Adult,infrequent,biz,premium,Good,Good,Good,Poor,Good,206,7,1,98800024
yes,M,55,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,355,0,1,98800025
yes,F,62,Elder,loyal,pers,premium,Good,Good,Poor,Good,Poor,194,0,1,98800027
no,M,39,Middle,infrequent,biz,premium,Poor,Poor,Good,Acceptable,Acceptable,117,0,0,98800028
no,M,29,Young Adult,loyal,pers,regular,Acceptable,Acceptable,Acceptable,Good,Poor,191,16,0,98800029
no,F,54,Upper Age,loyal,biz,regular,Poor,Acceptable,Poor,Poor,Good,203,219,0,98800036
no,M,32,Middle,loyal,pers,premium,Poor,Poor,Good,Poor,Good,216,150,0,98800038
yes,F,26,Young Adult,loyal,biz,premium,Good,Good,Good,Good,Good,366,0,1,98800046
no,F,38,Middle,infrequent,biz,regular,Poor,Poor,Good,Good,Poor,149,131,0,98800047
no,M,21,Young Adult,loyal,pers,premium,Poor,Poor,Poor,Acceptable,Good,257,110,0,98800053
no,M,24,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Poor,Poor,298,0,0,98800054
no,M,34,Middle,loyal,pers,regular,Good,Good,Good,Good,Good,250,0,0,98800055
yes,M,50,Upper Age,loyal,biz,premium,Poor,Poor,Good,Good,Good,196,0,1,98800056
no,F,30,Middle,infrequent,biz,premium,Acceptable,Good,Good,Good,Poor,114,0,0,98800059
yes,M,48,Upper Age,loyal,biz,premium,Good,Good,Acceptable,Good,Acceptable,208,0,1,98800060
yes,M,25,Young Adult,infrequent,biz,regular,Good,Good,Poor,Acceptable,Poor,206,0,1,98800061
yes,F,39,Middle,loyal,biz,regular,Poor,Poor,Acceptable,Poor,Acceptable,110,0,1,98800062
yes,F,27,Young Adult,loyal,pers,regular,Poor,Poor,Poor,Good,Good,170,26,1,98800065
yes,F,37,Middle,loyal,pers,regular,Good,Good,Poor,Good,Acceptable,281,0,1,98800067
yes,F,23,Young Adult,loyal,pers,regular,Good,Acceptable,Good,Good,Good,252,7,1,98800069
no,M,55,Upper Age,loyal,biz,regular,Acceptable,Poor,Acceptable,Acceptable,Poor,155,0,0,98800071
no,F,48,Upper Age,loyal,biz,premium,Poor,Acceptable,Poor,Acceptable,Poor,91,4,0,98800075
no,F,22,Young Adult,infrequent,biz,regular,Poor,Poor,Good,Acceptable,Good,153,8,0,98800081
yes,M,25,Young Adult,infrequent,biz,regular,Good,Good,Good,Poor,Good,228,3,1,98800082
yes,F,29,Young Adult,infrequent,biz,regular,Good,Good,Good,Poor,Good,282,0,1,98800083
yes,F,44,Middle,loyal,biz,regular,Poor,Poor,Good,Good,Good,401,0,1,98800084
no,M,64,Elder,loyal,pers,premium,Poor,Poor,Good,Poor,Acceptable,239,0,0,98800090
yes,F,23,Young Adult,loyal,biz,regular,Good,Poor,Poor,Good,Good,313,0,1,98800091
yes,F,30,Middle,loyal,biz,premium,Good,Good,Good,Good,Good,263,53,1,98800093
no,F,30,Middle,infrequent,biz,premium,Poor,Poor,Poor,Poor,Poor,186,5,0,98800094
yes,M,50,Upper Age,loyal,biz,premium,Good,Good,Acceptable,Good,Poor,170,0,1,98800095
yes,M,23,Young Adult,infrequent,biz,regular,Good,Good,Good,Poor,Good,263,0,1,98800096
yes,F,24,Young Adult,loyal,biz,premium,Poor,Poor,Poor,Good,Good,111,151,1,98800098
no,M,20,Young Adult,loyal,pers,regular,Acceptable,Acceptable,Good,Poor,Acceptable,180,7,0,98800100
no,F,44,Middle,infrequent,biz,premium,Poor,Poor,Good,Poor,Good,174,8,0,98800102
no,M,23,Young Adult,loyal,pers,premium,Poor,Poor,Good,Poor,Good,306,233,0,98800103
yes,F,52,Upper Age,loyal,biz,premium,Good,Good,Good,Poor,Good,374,0,1,98800104
yes,F,49,Upper Age,infrequent,biz,premium,Good,Good,Good,Acceptable,Good,176,10,1,98800107
yes,M,30,Middle,loyal,biz,regular,Acceptable,Good,Good,Good,Good,285,184,1,98800111
yes,M,26,Young Adult,loyal,biz,regular,Good,Good,Good,Good,Acceptable,462,23,1,98800113
no,M,58,Upper Age,loyal,pers,regular,Poor,Poor,Poor,Good,Poor,159,29,0,98800114
yes,F,40,Middle,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,100,10,1,98800115
no,M,22,Young Adult,loyal,biz,premium,Acceptable,Poor,Good,Acceptable,Poor,473,2,0,98800116
yes,M,28,Young Adult,loyal,biz,regular,Good,Poor,Good,Good,Good,236,0,1,98800117
yes,M,24,Young Adult,infrequent,biz,premium,Good,Good,Good,Good,Good,174,0,1,98800119
yes,M,42,Middle,loyal,biz,premium,Good,Good,Acceptable,Good,Acceptable,168,72,1,98800121
yes,F,45,Middle,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,130,0,1,98800123
no,M,43,Middle,loyal,pers,premium,Poor,Poor,Good,Acceptable,Poor,239,210,0,98800124
no,M,57,Upper Age,loyal,biz,regular,Poor,Poor,Poor,Acceptable,Poor,218,0,0,98800128
yes,F,23,Young Adult,loyal,biz,regular,Acceptable,Good,Good,Poor,Good,266,0,1,98800129
yes,F,59,Upper Age,loyal,biz,regular,Acceptable,Acceptable,Good,Good,Good,214,0,1,98800130
yes,M,25,Young Adult,loyal,biz,regular,Good,Poor,Poor,Good,Good,190,0,1,98800133
no,M,48,Upper Age,loyal,pers,premium,Acceptable,Acceptable,Poor,Poor,Good,155,0,0,98800135
no,M,28,Young Adult,loyal,pers,premium,Acceptable,Acceptable,Good,Good,Acceptable,116,0,0,98800136
no,M,37,Middle,infrequent,biz,regular,Poor,Poor,Good,Good,Good,214,61,0,98800137
no,M,18,Young Adult,loyal,pers,premium,Poor,Poor,Good,Poor,Poor,406,0,0,98800138
no,M,36,Middle,infrequent,biz,premium,Poor,Poor,Good,Good,Good,224,1,0,98800139
yes,F,43,Middle,loyal,biz,premium,Good,Good,Poor,Good,Poor,233,8,1,98800142
yes,M,53,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,175,0,1,98800144
no,M,29,Young Adult,infrequent,biz,regular,Acceptable,Acceptable,Good,Acceptable,Acceptable,265,0,0,98800145
no,M,24,Young Adult,loyal,pers,regular,Good,Good,Acceptable,Poor,Poor,166,0,0,98800147
yes,M,52,Upper Age,loyal,biz,premium,Good,Good,Good,Good,Good,52,184,1,98800148
yes,F,18,Young Adult,loyal,biz,premium,Poor,Poor,Poor,Good,Poor,208,40,1,98800149
no,M,39,Middle,loyal,biz,premium,Good,Poor,Good,Good,Poor,191,11,0,98800153
no,F,37,Middle,infrequent,biz,regular,Good,Good,Acceptable,Poor,Acceptable,212,41,0,98800156
no,M,36,Middle,infrequent,biz,regular,Poor,Poor,Good,Poor,Good,294,0,0,98800157
no,M,38,Middle,loyal,pers,regular,Poor,Poor,Good,Good,Acceptable,133,0,0,98800159
yes,F,27,Young Adult,loyal,biz,premium,Poor,Good,Good,Good,Good,365,0,1,98800161
yes,F,25,Young Adult,loyal,biz,regular,Good,Poor,Poor,Good,Good,205,0,1,98800163
yes,F,41,Middle,loyal,biz,regular,Good,Poor,Good,Good,Good,227,34,1,98800164
yes,M,24,Young Adult,loyal,biz,regular,Poor,Poor,Poor,Good,Good,232,119,1,98800173
yes,F,37,Middle,loyal,biz,regular,Good,Poor,Poor,Good,Good,151,0,1,98800174
yes,F,30,Middle,loyal,biz,premium,Poor,Poor,Good,Good,Acceptable,256,72,1,98800179
no,F,35,Middle,loyal,biz,regular,Poor,Good,Poor,Acceptable,Poor,166,27,0,98800182
no,M,36,Middle,loyal,pers,premium,Acceptable,Poor,Poor,Poor,Poor,124,0,0,98800184
yes,F,25,Young Adult,loyal,biz,regular,Good,Good,Good,Good,Good,424,17,1,98800185
yes,M,47,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Good,Acceptable,Good,288,136,1,98800186
no,M,52,Upper Age,loyal,biz,premium,Acceptable,Acceptable,Acceptable,Poor,Acceptable,141,0,0,98800189
no,F,41,Middle,loyal,biz,premium,Acceptable,Good,Acceptable,Acceptable,Poor,350,0,0,98800190
yes,F,70,Elder,loyal,pers,premium,Acceptable,Acceptable,Good,Good,Good,91,0,1,98800191
yes,M,66,Elder,loyal,biz,regular,Poor,Poor,Good,Good,Good,395,132,1,98800198
no,F,22,Young Adult,infrequent,biz,regular,Good,Good,Good,Good,Good,193,0,0,98800201
yes,M,40,Middle,loyal,biz,regular,Poor,Acceptable,Poor,Poor,Poor,190,14,1,98800202
yes,F,20,Young Adult,loyal,pers,regular,Acceptable,Acceptable,Good,Good,Good,185,0,1,98800203
yes,F,67,Elder,loyal,pers,regular,Good,Good,Good,Good,Good,169,126,1,98800204
yes,F,37,Middle,loyal,pers,premium,Poor,Good,Good,Good,Good,270,0,1,98800206
yes,F,56,Upper Age,loyal,biz,regular,Good,Good,Good,Poor,Good,336,0,1,98800207
no,M,54,Upper Age,loyal,biz,premium,Good,Acceptable,Good,Poor,Good,62,0,0,98800209
yes,F,52,Upper Age,loyal,pers,regular,Poor,Poor,Good,Good,Acceptable,153,17,1,98800210
no,F,43,Middle,loyal,pers,premium,Good,Good,Poor,Good,Poor,166,0,0,98800212
yes,F,44,Middle,loyal,pers,regular,Poor,Poor,Good,Acceptable,Good,192,0,1,98800215
yes,F,69,Elder,loyal,pers,regular,Good,Good,Good,Good,Good,57,5,1,98800216
no,M,26,Young Adult,infrequent,biz,premium,Acceptable,Acceptable,Poor,Acceptable,Acceptable,148,22,0,98800219
