,Satisfied,Seat_Comfort,Catering,Online_Support,Cleanliness,Catering,Onboard_Service,num_sat
1,no,Poor,Poor,Good,Good,Poor,Good,0
2,yes,Poor,Poor,Good,Good,Poor,Good,1
4,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
5,yes,Poor,Acceptable,Good,Acceptable,Acceptable,Acceptable,1
6,no,Good,Good,Good,Acceptable,Good,Good,0
8,no,Poor,Poor,Acceptable,Poor,Poor,Acceptable,0
10,yes,Good,Good,Poor,Good,Good,Good,1
11,yes,Good,Good,Acceptable,Poor,Good,Poor,1
14,no,Acceptable,Poor,Acceptable,Poor,Poor,Poor,0
17,yes,Good,Good,Good,Good,Good,Good,1
18,no,Poor,Acceptable,Poor,Good,Acceptable,Good,0
19,yes,Good,Good,Good,Good,Good,Acceptable,1
20,no,Poor,Poor,Poor,Good,Poor,Poor,0
21,yes,Poor,Poor,Poor,Poor,Poor,Poor,1
23,yes,Good,Good,Poor,Good,Good,Good,1
24,yes,Good,Good,Good,Good,Good,Good,1
26,yes,Good,Good,Good,Poor,Good,Poor,1
27,no,Poor,Poor,Acceptable,Good,Poor,Acceptable,0
28,no,Acceptable,Acceptable,Good,Acceptable,Acceptable,Poor,0
35,no,Poor,Acceptable,Poor,Poor,Acceptable,Good,0
37,no,Poor,Poor,Poor,Good,Poor,Good,0
45,yes,Good,Good,Good,Good,Good,Good,1
46,no,Poor,Poor,Good,Good,Poor,Poor,0
52,no,Poor,Poor,Acceptable,Poor,Poor,Good,0
53,no,Poor,Poor,Poor,Good,Poor,Poor,0
54,no,Good,Good,Good,Good,Good,Good,0
55,yes,Poor,Poor,Good,Good,Poor,Good,1
58,no,Acceptable,Good,Good,Good,Good,Poor,0
59,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
60,yes,Good,Good,Acceptable,Poor,Good,Poor,1
61,yes,Poor,Poor,Poor,Acceptable,Poor,Acceptable,1
64,yes,Poor,Poor,Good,Poor,Poor,Good,1
66,yes,Good,Good,Good,Poor,Good,Acceptable,1
68,yes,Good,Acceptable,Good,Good,Acceptable,Good,1
70,no,Acceptable,Poor,Acceptable,Acceptable,Poor,Poor,0
74,no,Poor,Acceptable,Acceptable,Poor,Acceptable,Poor,0
80,no,Poor,Poor,Acceptable,Good,Poor,Good,0
81,yes,Good,Good,Poor,Good,Good,Good,1
82,yes,Good,Good,Poor,Good,Good,Good,1
83,yes,Poor,Poor,Good,Good,Poor,Good,1
89,no,Poor,Poor,Poor,Good,Poor,Acceptable,0
90,yes,Good,Poor,Good,Poor,Poor,Good,1
92,yes,Good,Good,Good,Good,Good,Good,1
93,no,Poor,Poor,Poor,Poor,Poor,Poor,0
94,yes,Good,Good,Good,Acceptable,Good,Poor,1
95,yes,Good,Good,Poor,Good,Good,Good,1
97,yes,Poor,Poor,Good,Poor,Poor,Good,1
99,no,Acceptable,Acceptable,Poor,Good,Acceptable,Acceptable,0
101,no,Poor,Poor,Poor,Good,Poor,Good,0
102,no,Poor,Poor,Poor,Good,Poor,Good,0
103,yes,Good,Good,Poor,Good,Good,Good,1
106,yes,Good,Good,Acceptable,Good,Good,Good,1
110,yes,Acceptable,Good,Good,Good,Good,Good,1
112,yes,Good,Good,Good,Good,Good,Acceptable,1
113,no,Poor,Poor,Good,Poor,Poor,Poor,0
114,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
115,no,Acceptable,Poor,Acceptable,Good,Poor,Poor,0
116,yes,Good,Poor,Good,Good,Poor,Good,1
118,yes,Good,Good,Good,Good,Good,Good,1
120,yes,Good,Good,Good,Acceptable,Good,Acceptable,1
122,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
123,no,Poor,Poor,Acceptable,Good,Poor,Poor,0
127,no,Poor,Poor,Acceptable,Poor,Poor,Poor,0
128,yes,Acceptable,Good,Poor,Good,Good,Good,1
129,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
132,yes,Good,Poor,Good,Poor,Poor,Good,1
134,no,Acceptable,Acceptable,Poor,Poor,Acceptable,Good,0
135,no,Acceptable,Acceptable,Good,Good,Acceptable,Acceptable,0
136,no,Poor,Poor,Good,Good,Poor,Good,0
137,no,Poor,Poor,Poor,Good,Poor,Poor,0
138,no,Poor,Poor,Good,Good,Poor,Good,0
141,yes,Good,Good,Good,Poor,Good,Poor,1
143,yes,Good,Good,Good,Good,Good,Good,1
144,no,Acceptable,Acceptable,Acceptable,Good,Acceptable,Acceptable,0
146,no,Good,Good,Poor,Acceptable,Good,Poor,0
147,yes,Good,Good,Good,Good,Good,Good,1
148,yes,Poor,Poor,Good,Poor,Poor,Poor,1
152,no,Good,Poor,Good,Good,Poor,Poor,0
155,no,Good,Good,Poor,Acceptable,Good,Acceptable,0
156,no,Poor,Poor,Poor,Good,Poor,Good,0
158,no,Poor,Poor,Good,Good,Poor,Acceptable,0
160,yes,Poor,Good,Good,Good,Good,Good,1
162,yes,Good,Poor,Good,Poor,Poor,Good,1
163,yes,Good,Poor,Good,Good,Poor,Good,1
172,yes,Poor,Poor,Good,Poor,Poor,Good,1
173,yes,Good,Poor,Good,Poor,Poor,Good,1
178,yes,Poor,Poor,Good,Good,Poor,Acceptable,1
181,no,Poor,Good,Acceptable,Poor,Good,Poor,0
183,no,Acceptable,Poor,Poor,Poor,Poor,Poor,0
184,yes,Good,Good,Good,Good,Good,Good,1
185,yes,Acceptable,Acceptable,Acceptable,Good,Acceptable,Good,1
188,no,Acceptable,Acceptable,Poor,Acceptable,Acceptable,Acceptable,0
189,no,Acceptable,Good,Acceptable,Acceptable,Good,Poor,0
190,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
197,yes,Poor,Poor,Good,Good,Poor,Good,1
200,no,Good,Good,Good,Good,Good,Good,0
201,yes,Poor,Acceptable,Poor,Poor,Acceptable,Poor,1
202,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
203,yes,Good,Good,Good,Good,Good,Good,1
205,yes,Poor,Good,Good,Good,Good,Good,1
206,yes,Good,Good,Poor,Good,Good,Good,1
208,no,Good,Acceptable,Poor,Good,Acceptable,Good,0
209,yes,Poor,Poor,Good,Good,Poor,Acceptable,1
211,no,Good,Good,Good,Poor,Good,Poor,0
214,yes,Poor,Poor,Acceptable,Good,Poor,Good,1
215,yes,Good,Good,Good,Good,Good,Good,1
218,no,Acceptable,Acceptable,Acceptable,Poor,Acceptable,Acceptable,0
219,yes,Poor,Poor,Good,Good,Poor,Good,1
221,yes,Poor,Poor,Acceptable,Poor,Poor,Poor,1
222,yes,Good,Good,Good,Poor,Good,Good,1
226,no,Poor,Poor,Poor,Good,Poor,Good,0
227,yes,Good,Good,Poor,Good,Good,Good,1
228,yes,Poor,Poor,Good,Good,Poor,Good,1
229,no,Acceptable,Acceptable,Poor,Good,Acceptable,Good,0
233,yes,Good,Poor,Good,Good,Poor,Good,1
238,yes,Acceptable,Acceptable,Good,Good,Acceptable,Good,1
240,yes,Good,Good,Good,Good,Good,Poor,1
241,yes,Good,Good,Good,Acceptable,Good,Good,1
244,yes,Good,Good,Acceptable,Good,Good,Good,1
246,yes,Good,Good,Good,Poor,Good,Poor,1
249,no,Poor,Poor,Poor,Good,Poor,Good,0
250,no,Poor,Poor,Poor,Acceptable,Poor,Good,0
251,yes,Acceptable,Acceptable,Good,Acceptable,Acceptable,Acceptable,1
254,no,Poor,Acceptable,Poor,Acceptable,Acceptable,Poor,0
258,yes,Poor,Poor,Good,Good,Poor,Good,1
261,yes,Poor,Poor,Good,Good,Poor,Good,1
262,yes,Good,Poor,Good,Good,Poor,Poor,1
264,no,Poor,Poor,Good,Good,Poor,Acceptable,0
266,yes,Good,Good,Acceptable,Good,Good,Good,1
269,no,Poor,Poor,Poor,Good,Poor,Good,0
271,yes,Good,Good,Poor,Good,Good,Good,1
272,yes,Good,Poor,Good,Good,Poor,Good,1
273,yes,Good,Good,Good,Good,Good,Good,1
274,yes,Poor,Poor,Good,Good,Poor,Acceptable,1
275,yes,Poor,Acceptable,Good,Good,Acceptable,Good,1
276,yes,Good,Good,Acceptable,Good,Good,Good,1
278,no,Poor,Poor,Poor,Poor,Poor,Poor,0
