,Gender,Age,Age_Group,Customer_Type,Type_Travel,Seat_Class,Travel_Distance(km),delay(seconds),ID
1,M,48,Upper Age,loyal,pers,regular,220,9,98800002
2,F,43,Middle,loyal,biz,premium,106,196,98800003
4,F,50,Upper Age,loyal,biz,regular,198,0,98800005
5,M,44,Middle,loyal,biz,regular,281,0,98800006
6,M,56,Upper Age,loyal,pers,premium,203,0,98800007
8,M,22,Young Adult,loyal,pers,premium,164,1,98800009
10,F,25,Young Adult,infrequent,biz,premium,176,0,98800011
11,M,26,Young Adult,loyal,pers,regular,190,0,98800012
14,M,33,Middle,loyal,biz,regular,118,98,98800015
17,M,68,Elder,loyal,pers,premium,376,72,98800018
18,M,26,Young Adult,loyal,pers,premium,301,0,98800019
19,M,24,Young Adult,infrequent,biz,premium,199,107,98800020
20,M,23,Young Adult,loyal,biz,premium,166,0,98800021
21,M,33,Middle,loyal,biz,premium,182,0,98800022
23,F,22,Young Adult,infrequent,biz,premium,206,7,98800024
24,M,55,Upper Age,loyal,biz,premium,355,0,98800025
26,F,62,Elder,loyal,pers,premium,194,0,98800027
27,M,39,Middle,infrequent,biz,premium,117,0,98800028
28,M,29,Young Adult,loyal,pers,regular,191,16,98800029
35,F,54,Upper Age,loyal,biz,regular,203,219,98800036
37,M,32,Middle,loyal,pers,premium,216,150,98800038
45,F,26,Young Adult,loyal,biz,premium,366,0,98800046
46,F,38,Middle,infrequent,biz,regular,149,131,98800047
52,M,21,Young Adult,loyal,pers,premium,257,110,98800053
53,M,24,Young Adult,infrequent,biz,regular,298,0,98800054
54,M,34,Middle,loyal,pers,regular,250,0,98800055
55,M,50,Upper Age,loyal,biz,premium,196,0,98800056
58,F,30,Middle,infrequent,biz,premium,114,0,98800059
59,M,48,Upper Age,loyal,biz,premium,208,0,98800060
60,M,25,Young Adult,infrequent,biz,regular,206,0,98800061
61,F,39,Middle,loyal,biz,regular,110,0,98800062
64,F,27,Young Adult,loyal,pers,regular,170,26,98800065
66,F,37,Middle,loyal,pers,regular,281,0,98800067
68,F,23,Young Adult,loyal,pers,regular,252,7,98800069
70,M,55,Upper Age,loyal,biz,regular,155,0,98800071
74,F,48,Upper Age,loyal,biz,premium,91,4,98800075
80,F,22,Young Adult,infrequent,biz,regular,153,8,98800081
81,M,25,Young Adult,infrequent,biz,regular,228,3,98800082
82,F,29,Young Adult,infrequent,biz,regular,282,0,98800083
83,F,44,Middle,loyal,biz,regular,401,0,98800084
89,M,64,Elder,loyal,pers,premium,239,0,98800090
90,F,23,Young Adult,loyal,biz,regular,313,0,98800091
92,F,30,Middle,loyal,biz,premium,263,53,98800093
93,F,30,Middle,infrequent,biz,premium,186,5,98800094
94,M,50,Upper Age,loyal,biz,premium,170,0,98800095
95,M,23,Young Adult,infrequent,biz,regular,263,0,98800096
97,F,24,Young Adult,loyal,biz,premium,111,151,98800098
99,M,20,Young Adult,loyal,pers,regular,180,7,98800100
101,F,44,Middle,infrequent,biz,premium,174,8,98800102
102,M,23,Young Adult,loyal,pers,premium,306,233,98800103
103,F,52,Upper Age,loyal,biz,premium,374,0,98800104
106,F,49,Upper Age,infrequent,biz,premium,176,10,98800107
110,M,30,Middle,loyal,biz,regular,285,184,98800111
112,M,26,Young Adult,loyal,biz,regular,462,23,98800113
113,M,58,Upper Age,loyal,pers,regular,159,29,98800114
114,F,40,Middle,loyal,biz,regular,100,10,98800115
115,M,22,Young Adult,loyal,biz,premium,473,2,98800116
116,M,28,Young Adult,loyal,biz,regular,236,0,98800117
118,M,24,Young Adult,infrequent,biz,premium,174,0,98800119
120,M,42,Middle,loyal,biz,premium,168,72,98800121
122,F,45,Middle,loyal,biz,regular,130,0,98800123
123,M,43,Middle,loyal,pers,premium,239,210,98800124
127,M,57,Upper Age,loyal,biz,regular,218,0,98800128
128,F,23,Young Adult,loyal,biz,regular,266,0,98800129
129,F,59,Upper Age,loyal,biz,regular,214,0,98800130
132,M,25,Young Adult,loyal,biz,regular,190,0,98800133
134,M,48,Upper Age,loyal,pers,premium,155,0,98800135
135,M,28,Young Adult,loyal,pers,premium,116,0,98800136
136,M,37,Middle,infrequent,biz,regular,214,61,98800137
137,M,18,Young Adult,loyal,pers,premium,406,0,98800138
138,M,36,Middle,infrequent,biz,premium,224,1,98800139
141,F,43,Middle,loyal,biz,premium,233,8,98800142
143,M,53,Upper Age,loyal,biz,premium,175,0,98800144
144,M,29,Young Adult,infrequent,biz,regular,265,0,98800145
146,M,24,Young Adult,loyal,pers,regular,166,0,98800147
147,M,52,Upper Age,loyal,biz,premium,52,184,98800148
148,F,18,Young Adult,loyal,biz,premium,208,40,98800149
152,M,39,Middle,loyal,biz,premium,191,11,98800153
155,F,37,Middle,infrequent,biz,regular,212,41,98800156
156,M,36,Middle,infrequent,biz,regular,294,0,98800157
158,M,38,Middle,loyal,pers,regular,133,0,98800159
160,F,27,Young Adult,loyal,biz,premium,365,0,98800161
162,F,25,Young Adult,loyal,biz,regular,205,0,98800163
163,F,41,Middle,loyal,biz,regular,227,34,98800164
172,M,24,Young Adult,loyal,biz,regular,232,119,98800173
173,F,37,Middle,loyal,biz,regular,151,0,98800174
178,F,30,Middle,loyal,biz,premium,256,72,98800179
181,F,35,Middle,loyal,biz,regular,166,27,98800182
183,M,36,Middle,loyal,pers,premium,124,0,98800184
184,F,25,Young Adult,loyal,biz,regular,424,17,98800185
185,M,47,Upper Age,loyal,biz,premium,288,136,98800186
188,M,52,Upper Age,loyal,biz,premium,141,0,98800189
189,F,41,Middle,loyal,biz,premium,350,0,98800190
190,F,70,Elder,loyal,pers,premium,91,0,98800191
197,M,66,Elder,loyal,biz,regular,395,132,98800198
200,F,22,Young Adult,infrequent,biz,regular,193,0,98800201
201,M,40,Middle,loyal,biz,regular,190,14,98800202
202,F,20,Young Adult,loyal,pers,regular,185,0,98800203
203,F,67,Elder,loyal,pers,regular,169,126,98800204
205,F,37,Middle,loyal,pers,premium,270,0,98800206
206,F,56,Upper Age,loyal,biz,regular,336,0,98800207
208,M,54,Upper Age,loyal,biz,premium,62,0,98800209
209,F,52,Upper Age,loyal,pers,regular,153,17,98800210
211,F,43,Middle,loyal,pers,premium,166,0,98800212
214,F,44,Middle,loyal,pers,regular,192,0,98800215
215,F,69,Elder,loyal,pers,regular,57,5,98800216
218,M,26,Young Adult,infrequent,biz,premium,148,22,98800219
219,F,54,Upper Age,loyal,pers,premium,69,59,98800220
221,M,30,Middle,loyal,biz,premium,202,0,98800222
222,F,24,Young Adult,infrequent,biz,premium,185,38,98800223
226,F,29,Young Adult,infrequent,biz,regular,147,1,98800227
227,F,53,Upper Age,loyal,biz,regular,170,4,98800228
228,M,41,Middle,loyal,biz,premium,366,0,98800229
229,M,35,Middle,loyal,pers,premium,207,0,98800230
233,M,55,Upper Age,loyal,biz,premium,70,95,98800234
238,F,38,Middle,loyal,pers,regular,225,0,98800239
240,M,25,Young Adult,infrequent,biz,premium,150,0,98800241
241,F,30,Middle,loyal,biz,regular,190,10,98800242
244,M,49,Upper Age,loyal,pers,regular,248,0,98800245
246,F,64,Elder,loyal,pers,regular,138,0,98800247
249,F,50,Upper Age,infrequent,biz,premium,165,5,98800250
250,M,19,Young Adult,loyal,pers,regular,139,0,98800251
251,F,40,Middle,loyal,biz,premium,250,241,98800252
254,M,52,Upper Age,loyal,biz,regular,258,0,98800255
258,F,35,Middle,loyal,biz,regular,179,0,98800259
261,M,34,Middle,loyal,biz,regular,53,1,98800262
262,F,35,Middle,loyal,biz,regular,139,140,98800263
264,M,44,Middle,loyal,pers,regular,134,22,98800265
266,M,25,Young Adult,infrequent,biz,regular,163,0,98800267
269,F,22,Young Adult,infrequent,biz,premium,147,15,98800270
271,M,25,Young Adult,loyal,pers,regular,343,0,98800272
272,F,42,Middle,loyal,biz,premium,244,21,98800273
273,F,35,Middle,loyal,pers,premium,247,50,98800274
274,F,32,Middle,loyal,biz,regular,365,0,98800275
275,F,34,Middle,loyal,biz,regular,379,0,98800276
276,M,27,Young Adult,infrequent,biz,regular,192,0,98800277
278,F,27,Young Adult,infrequent,biz,regular,179,0,98800279
283,M,20,Young Adult,loyal,pers,regular,268,0,98800284
285,F,42,Middle,infrequent,biz,premium,112,3,98800286
286,F,24,Young Adult,infrequent,biz,regular,162,0,98800287
287,F,35,Middle,loyal,pers,regular,204,0,98800288
288,F,29,Young Adult,loyal,biz,regular,89,2,98800289
289,F,23,Young Adult,loyal,pers,premium,322,19,98800290
291,M,49,Upper Age,loyal,pers,regular,292,0,98800292
292,M,52,Upper Age,loyal,biz,regular,166,0,98800293
293,M,33,Middle,loyal,biz,regular,295,8,98800294
295,F,44,Middle,loyal,biz,regular,158,2,98800296
296,M,37,Middle,loyal,pers,regular,195,18,98800297
298,M,64,Elder,loyal,pers,regular,321,8,98800299
300,F,22,Young Adult,loyal,biz,regular,208,0,98800301
302,F,47,Upper Age,loyal,biz,premium,120,52,98800303
305,M,25,Young Adult,loyal,biz,premium,246,0,98800306
306,M,60,Elder,loyal,biz,premium,165,20,98800307
307,M,48,Upper Age,loyal,pers,regular,146,0,98800308
313,M,50,Upper Age,loyal,biz,regular,162,21,98800314
314,F,48,Upper Age,loyal,pers,regular,63,6,98800315
317,F,48,Upper Age,loyal,pers,regular,188,0,98800318
319,M,42,Middle,loyal,biz,premium,170,0,98800320
327,M,19,Young Adult,loyal,biz,regular,385,8,98800328
334,M,52,Upper Age,loyal,biz,regular,348,36,98800335
339,F,71,Elder,loyal,biz,premium,342,0,98800340
340,M,35,Middle,loyal,pers,premium,216,5,98800341
341,M,60,Elder,loyal,biz,regular,143,102,98800342
343,F,20,Young Adult,loyal,pers,regular,234,7,98800344
345,M,57,Upper Age,loyal,biz,regular,171,24,98800346
346,F,57,Upper Age,loyal,pers,premium,241,257,98800347
349,F,37,Middle,loyal,pers,regular,206,231,98800350
352,F,33,Middle,loyal,pers,regular,193,0,98800353
353,M,60,Elder,loyal,biz,premium,291,31,98800354
356,F,41,Middle,loyal,biz,regular,88,0,98800357
357,M,24,Young Adult,infrequent,biz,premium,199,0,98800358
358,F,41,Middle,loyal,biz,regular,262,0,98800359
359,M,33,Middle,loyal,biz,premium,497,1,98800360
360,F,30,Middle,infrequent,biz,regular,294,5,98800361
361,F,22,Young Adult,infrequent,biz,premium,192,128,98800362
362,F,28,Young Adult,loyal,biz,premium,358,0,98800363
363,F,27,Young Adult,loyal,biz,regular,336,62,98800364
365,M,29,Young Adult,loyal,pers,premium,280,9,98800366
366,M,54,Upper Age,loyal,biz,regular,156,22,98800367
367,F,23,Young Adult,loyal,biz,regular,146,12,98800368
369,M,54,Upper Age,loyal,biz,premium,175,0,98800370
371,F,49,Upper Age,loyal,biz,premium,322,0,98800372
375,F,53,Upper Age,loyal,biz,regular,127,0,98800376
379,F,20,Young Adult,infrequent,biz,premium,229,5,98800380
380,F,50,Upper Age,loyal,biz,premium,116,4,98800381
381,F,35,Middle,loyal,pers,premium,224,0,98800382
383,F,52,Upper Age,loyal,pers,premium,83,20,98800384
386,M,67,Elder,loyal,pers,premium,366,1,98800387
387,M,47,Upper Age,loyal,biz,regular,167,0,98800388
389,F,36,Middle,loyal,pers,premium,163,0,98800390
390,M,20,Young Adult,loyal,pers,regular,251,45,98800391
391,F,35,Middle,loyal,biz,regular,388,0,98800392
392,M,41,Middle,loyal,pers,regular,388,16,98800393
399,F,47,Upper Age,loyal,pers,premium,79,0,98800400
400,M,22,Young Adult,infrequent,biz,regular,157,4,98800401
401,M,23,Young Adult,loyal,pers,premium,194,13,98800402
405,M,52,Upper Age,infrequent,biz,regular,211,22,98800406
406,F,24,Young Adult,infrequent,biz,regular,220,0,98800407
407,F,25,Young Adult,loyal,pers,regular,137,0,98800408
408,F,40,Middle,loyal,biz,premium,53,211,98800409
410,M,18,Young Adult,infrequent,biz,premium,115,173,98800411
411,M,60,Elder,loyal,biz,premium,58,0,98800412
416,F,59,Upper Age,loyal,biz,regular,52,198,98800417
417,M,48,Upper Age,loyal,biz,regular,133,0,98800418
419,F,52,Upper Age,loyal,pers,premium,53,0,98800420
420,F,58,Upper Age,loyal,biz,regular,340,4,98800421
421,F,60,Elder,loyal,biz,regular,244,12,98800422
422,F,21,Young Adult,loyal,pers,premium,189,0,98800423
423,F,43,Middle,loyal,biz,premium,276,17,98800424
431,M,52,Upper Age,loyal,pers,premium,208,90,98800432
432,M,35,Middle,loyal,biz,regular,166,153,98800433
433,F,54,Upper Age,loyal,biz,premium,265,0,98800434
434,M,56,Upper Age,loyal,pers,premium,139,0,98800435
435,M,67,Elder,loyal,biz,premium,312,0,98800436
436,F,44,Middle,loyal,biz,regular,82,59,98800437
437,M,39,Middle,infrequent,biz,premium,354,0,98800438
439,M,56,Upper Age,loyal,biz,regular,112,0,98800440
441,F,55,Upper Age,loyal,biz,premium,77,2,98800442
443,M,49,Upper Age,infrequent,biz,regular,179,102,98800444
444,F,26,Young Adult,infrequent,biz,premium,209,0,98800445
446,F,39,Middle,loyal,pers,premium,194,0,98800447
447,M,44,Middle,infrequent,biz,premium,196,37,98800448
448,F,34,Middle,loyal,biz,premium,187,12,98800449
449,F,29,Young Adult,infrequent,biz,premium,282,144,98800450
450,F,22,Young Adult,loyal,biz,regular,511,0,98800451
452,M,58,Upper Age,loyal,pers,regular,224,13,98800453
453,F,36,Middle,loyal,biz,regular,93,0,98800454
454,M,56,Upper Age,loyal,biz,regular,102,0,98800455
456,F,40,Middle,loyal,biz,regular,267,0,98800457
457,M,37,Middle,infrequent,biz,regular,244,17,98800458
459,M,31,Middle,loyal,biz,premium,157,0,98800460
460,M,58,Upper Age,loyal,pers,premium,232,0,98800461
463,M,30,Middle,loyal,biz,regular,335,0,98800464
468,M,46,Upper Age,loyal,pers,regular,264,0,98800469
469,F,21,Young Adult,infrequent,biz,premium,208,18,98800470
470,F,43,Middle,infrequent,biz,regular,220,7,98800471
471,F,68,Elder,loyal,pers,regular,146,105,98800472
472,F,43,Middle,loyal,biz,premium,179,216,98800473
477,F,44,Middle,infrequent,biz,regular,250,66,98800478
478,F,61,Elder,loyal,pers,premium,262,0,98800479
479,F,51,Upper Age,loyal,biz,premium,88,42,98800480
484,M,23,Young Adult,loyal,biz,regular,290,2,98800485
488,F,66,Elder,loyal,pers,premium,89,96,98800489
491,F,21,Young Adult,loyal,pers,premium,187,38,98800492
492,M,57,Upper Age,loyal,biz,premium,151,0,98800493
496,F,48,Upper Age,loyal,pers,regular,89,0,98800497
497,M,24,Young Adult,loyal,biz,regular,223,21,98800498
498,M,25,Young Adult,loyal,pers,premium,369,0,98800499
500,F,34,Middle,loyal,pers,regular,200,0,98800501
502,M,50,Upper Age,loyal,pers,premium,311,4,98800503
506,M,51,Upper Age,infrequent,biz,regular,142,70,98800507
507,M,37,Middle,infrequent,biz,premium,107,0,98800508
508,F,22,Young Adult,infrequent,biz,premium,159,60,98800509
512,M,66,Elder,loyal,pers,regular,284,0,98800513
515,M,58,Upper Age,loyal,biz,premium,279,0,98800516
520,M,29,Young Adult,loyal,biz,premium,197,0,98800521
522,M,29,Young Adult,loyal,biz,premium,475,0,98800523
523,F,29,Young Adult,loyal,biz,premium,262,0,98800524
524,M,31,Middle,loyal,biz,regular,255,0,98800525
525,F,25,Young Adult,infrequent,biz,premium,206,12,98800526
526,F,42,Middle,loyal,pers,premium,66,0,98800527
528,M,25,Young Adult,infrequent,biz,regular,172,0,98800529
531,F,25,Young Adult,loyal,biz,regular,241,0,98800532
533,M,43,Middle,loyal,biz,regular,98,5,98800534
534,M,29,Young Adult,loyal,pers,premium,171,0,98800535
535,F,43,Middle,loyal,biz,regular,380,0,98800536
539,M,35,Middle,loyal,pers,premium,647,32,98800540
540,M,27,Young Adult,loyal,biz,premium,332,146,98800541
542,M,50,Upper Age,loyal,biz,premium,102,23,98800543
548,F,30,Middle,loyal,biz,premium,204,91,98800549
549,F,32,Middle,loyal,biz,premium,213,0,98800550
550,F,19,Young Adult,infrequent,biz,premium,132,0,98800551
551,F,30,Middle,loyal,pers,regular,137,0,98800552
552,F,19,Young Adult,loyal,pers,regular,177,0,98800553
553,M,18,Young Adult,loyal,biz,premium,380,12,98800554
554,M,47,Upper Age,loyal,biz,regular,246,9,98800555
555,F,56,Upper Age,loyal,biz,premium,550,261,98800556
559,F,24,Young Adult,infrequent,biz,premium,205,112,98800560
561,M,68,Elder,loyal,pers,regular,180,5,98800562
562,F,18,Young Adult,loyal,pers,regular,128,0,98800563
565,F,47,Upper Age,loyal,biz,premium,258,52,98800566
571,M,54,Upper Age,loyal,biz,premium,73,5,98800572
573,M,58,Upper Age,loyal,biz,premium,188,89,98800574
574,M,64,Elder,loyal,biz,premium,91,29,98800575
575,M,57,Upper Age,loyal,biz,premium,326,20,98800576
578,F,28,Young Adult,infrequent,biz,premium,184,152,98800579
582,M,35,Middle,infrequent,biz,premium,121,0,98800583
583,M,19,Young Adult,loyal,pers,premium,155,43,98800584
585,F,39,Middle,loyal,pers,regular,232,0,98800586
586,M,22,Young Adult,infrequent,biz,regular,132,0,98800587
588,M,23,Young Adult,loyal,biz,premium,100,0,98800589
590,F,48,Upper Age,loyal,pers,premium,198,11,98800591
594,F,53,Upper Age,loyal,biz,regular,158,0,98800595
596,F,41,Middle,loyal,biz,premium,289,0,98800597
599,M,58,Upper Age,loyal,biz,premium,86,20,98800600
600,F,58,Upper Age,loyal,biz,premium,280,110,98800601
601,M,56,Upper Age,loyal,biz,premium,309,0,98800602
602,F,56,Upper Age,loyal,pers,regular,105,13,98800603
603,M,48,Upper Age,loyal,pers,regular,245,89,98800604
604,F,53,Upper Age,loyal,biz,regular,229,0,98800605
605,M,39,Middle,loyal,biz,premium,324,0,98800606
606,M,20,Young Adult,loyal,biz,premium,418,0,98800607
609,M,22,Young Adult,infrequent,biz,regular,246,4,98800610
610,M,41,Middle,loyal,biz,regular,212,0,98800611
611,M,26,Young Adult,loyal,pers,regular,269,0,98800612
614,F,36,Middle,loyal,pers,regular,239,0,98800615
615,M,34,Middle,loyal,pers,regular,220,0,98800616
616,M,38,Middle,loyal,biz,regular,296,0,98800617
